scripps_id,shipment,recieved,sample_id,collection_date,species,sample_type,address,country,state,county,city,zip,latitude,longitude,pcr_ct,cdna,pcr,library_prep,sequenced,#_of_reads,%_cds_covered,mean_coverage_depth,seq._complete?,gap_primers,computed_location,host
W824,,yes,801T-P1,8/2/18,Culex pipiens,Pooled mosquitoes,,USA,WA,Spokane,,,47.62719,-117.38417,28,yes,yes,yes,yes,,,,,,spokane,mosquito
W825,,yes,808T-P1,8/8/18,Culex pipiens,Pooled mosquitoes,,USA,WA,Spokane,,,47.62719,-117.38417,27,yes,yes,yes,yes,,,,,,spokane,mosquito
W826,,yes,814G-P7,8/14/18,Culex pipiens,Pooled mosquitoes,,USA,WA,Pierce,,,47.25083,-122.41169,35,yes,yes,yes,yes,,,,,,pierce,mosquito
W827,,yes,814G-P8,8/14/18,Culex pipiens,Pooled mosquitoes,,USA,WA,Pierce,,,47.25083,-122.41169,33,yes,yes,yes,yes,,,,,,pierce,mosquito
W828,,yes,814G-P9,8/14/18,Culex pipiens,Pooled mosquitoes,,USA,WA,Pierce,,,47.25083,-122.41169,33,yes,yes,yes,yes,,,,,,pierce,mosquito
W829,,yes,814G-P10,8/14/18,Culex tarsalis,Pooled mosquitoes,,USA,WA,Pierce,,,47.25083,-122.41169,33,yes,yes,yes,yes,,,,,,pierce,mosquito
W830,,yes,815T-P1,8/25/18,Culex pipiens,Pooled mosquitoes,,USA,WA,Spokane,,,47.62719,-117.38417,15,yes,yes,yes,yes,,,,,,spokane,mosquito
W0918,,yes,2013-7741.1,2013,Flamingo,,,USA,Virgin Islands,,,,,,,yes,yes,yes,yes,,,,,,,bird
W0920,,yes,2015-10442.1,2015,Magpie,,,USA,WA,Grant,,,,,,yes,yes,yes,yes,,,,,,,bird
W0921,,yes,2015-11794.1,2015,Magpie,,,USA,WA,Kittitas,,,,,,yes,yes,yes,yes,,,,,,,bird
W0922,,yes,2015-11937.1,2015,Red-tailed hawk,,,USA,IA,,,,,,,yes,yes,yes,yes,,,,,,,bird
W0924,,yes,2015-13052.2,2015,American Paint horse mix,,,USA,WA,Grant,Ephrata,,,,,yes,yes,yes,yes,,,,,,,bird
W0925,,yes,2016-10167.2,2016,Quarterhorse,,,USA,WA,Spokane,Cheny,,,,,yes,yes,yes,yes,,,,,,,bird
W0926,,yes,2016-12216.1,2016,Crow,,,USA,WA,Spokane,Spokane,,,,,yes,yes,yes,yes,,,,,,,bird
W0927,,yes,2017-11015.1,2017,Short-eared owl,,,USA,ID,,Eagle,,,,,yes,yes,yes,yes,,,,,,,bird
W0929,,yes,2017-11580.1,2017,Bald Eagle,,,USA,ID,,Eagle,,,,,yes,yes,yes,yes,,,,,,,bird
W0930,,yes,2017-A1952.B2,2017,Quail,,,USA,WA,Walla,Walla Walla,,,,,yes,yes,yes,yes,,,,,,,bird
W0931,,yes,2017-A2425 B8-3,2017,Pheasant,,,USA,WA,Lincoln,Reardan,,,,,yes,yes,yes,yes,,,,,,,bird
W0933,,,2010-00942,2010,,Mosquito Pool,,USA,OR,Benton,,,,,21.93,yes,yes,yes,yes,,,,,,,mosquito
W0936,,,2014-00295,2014,,Mosquito Pool,,USA,OR,Malheur,,,,,32.06,yes,yes,yes,yes,,,,,,,mosquito
W0937,,,2014-00660,2014,,Mosquito Pool,,USA,OR,Malheur,,,,,28.63,yes,yes,yes,yes,,,,,,,mosquito
W0938,,,2015-00846,2015,,Mosquito Pool,,USA,WA,Franklin,,,,,28.16,yes,yes,yes,yes,,,,,,,mosquito
W0939,,,2015-01477,2015,,Mosquito Pool,,USA,WA,Grant,,,,,31.27,yes,yes,yes,yes,,,,,,,mosquito
W0940,,,2016-00992,2016,,Mosquito Pool,,USA,WA,Grant,,,,,22.08,yes,yes,yes,yes,,,,,,,mosquito
W0941,,,2016-01640,2016,,Mosquito Pool,,USA,WA,Grant,,,,,30.85,yes,yes,yes,yes,,,,,,,mosquito
W0942,,,2016-02181,2016,,Mosquito Pool,,USA,OR,Jackson,,,,,27.57,yes,yes,yes,yes,,,,,,,mosquito
W0943,,,2016-02497,2016,Crow,Brain,,USA,OR,Josephine,,,,,21.2,yes,yes,yes,yes,,,,,,,bird
